Algorithm,Size,Max Comparisons,Min Comparisons,Avg Comparisons,Max Swaps,Min Swaps,Avg Swaps,Max Execution Time,Min Execution Time,Avg Execution Time
Selection Sort,100,4950,4950,4950.0,357,276,315.53333333333336,1.001119613647461,0.0,0.4666248957316081
Selection Sort,1000,499500,499500,499500.0,5783,5257,5451.733333333334,46.000003814697266,44.99936103820801,45.03332773844401
Selection Sort,5000,12497500,12497500,12497500.0,35954,34057,35301.0,2063.000202178955,1120.999813079834,1800.5000193913777
Selection Sort,10000,49995000,49995000,49995000.0,79689,75962,77733.73333333334,8242.000579833984,8047.000169754028,8114.133334159851
Selection Sort,25000,312487500,312487500,312487500.0,219586,212075,215152.23333333334,51285.99977493286,50522.000312805176,50799.213202794395
Selection Sort,30000,449985000,449985000,449985000.0,266642,258501,262766.26666666666,73865.99206924438,40324.99957084656,70214.85625902812
Selection Sort,35000,612482500,612482500,612482500.0,315817,307048,311673.73333333334,99391.57223701477,54550.068378448486,59271.49997552236
Selection Sort,40000,799980000,799980000,799980000.0,365592,355833,360344.4,75394.47784423828,71609.00044441223,71930.15164534251
Selection Sort,45000,1012477500,1012477500,1012477500.0,416487,405187,409924.73333333334,167767.4639225006,90662.99939155579,109674.65792496999
Selection Sort,50000,1249975000,1249975000,1249975000.0,465211,455457,460114.43333333335,205631.03008270264,112527.98128128052,132522.492424647
